Date,Open,High,Low,Close,Idx,Body,Range,UWick,LWick,Close_Pct_High,Open_Pct_High,Iday_Idx,Iday_High,Iday_HClose,Iday_LClose,Iday_Low,Iday_Range,Close_Pct_DHigh,Open_Pct_DHigh,Yday_High,Yday_Low,Yday_Range,Day_Idx,ADR,ATR,ATR4,SMA4,SMA8,SMA16,SMA32,BB_Upper_16_2,BB_Lower_16_2,Close_Pct_SMA,High_Pct_SMA,Low_Pct_SMA,RSI,RSI_DVG,Sig_High,Sig_Low,SMA_Trend,SMA4_Slope,SMA16_Slope,SMA32_Slope,SMA4_Slope_SMA,SMA16_Slope_SMA,SMA32_Slope_SMA,Hammer,Bull_Pinbar,Shooting_Star,Bear_Pinbar,Bull_Engulf,Bear_Engulf,Dark_Cloud,Piercing,ILR,IHR,S_R,S_R_Level,BBU_BO,BBL_BO,Bull_SMA_BO,Bear_SMA_BO,Bull_BBR,Bear_BBR,Bear_BBR_C1,Bear_BBR_C2,Bear_BBR_C3,Bear_BBR_C4,Bear_BBR_V2,Bull_BBR_C1,Bull_BBR_C2,Bull_BBR_C3,Bull_BBR_C4,Bull_BBR_V2,Bull_TC,Bear_TC,Bull_TC_Candle,Bear_TC_Candle,Bull_BM,Bear_BM,Bull_TM,Bear_TM,S_R_Signal,S_R_Entry,BRS,RS_SMA,Bull_XM,Bear_XM,Symbol
2023-11-07 18:30:00-05:00,1.22907,1.229315,1.22903,1.229215,16239,0.0001449999999998397,0.0002849999999998687,9.999999999998899e-05,4.0000000000040004e-05,0.35087719298257913,0.8596491228068125,5,1.23027,1.2302,1.22907,1.22903,0.0012399999999999078,0.8508064516129892,0.9677419354838364,1.234825,1.22625,0.008575,171,0.009561,0.00043833333333331836,0.00044749999999998957,1.22942625,1.229734375,1.2296896875,1.22932703125,1.2304385154905126,1.2289408595094875,0.03860221849669908,0.030470085567838597,0.053646664415082826,46.80261730561464,,,,0,-58.90938955081983,-26.993156132962625,-17.62548617393608,-28.25944389622797,13.336367508127042,1.9852842000093662,,,,,,,,,,,,,False,False,,,,,,,,,False,,,,,False,False,False,False,False,False,False,,,,,4,4.25,False,False,GBPUSD
2023-11-07 18:45:00-05:00,1.229215,1.229245,1.229115,1.229135,16240,7.999999999985796e-05,0.00012999999999996348,2.999999999997449e-05,2.0000000000131024e-05,0.8461538461527951,0.2307692307690994,6,1.23027,1.2302,1.22907,1.22903,0.0012399999999999078,0.9153225806451375,0.8508064516129892,1.234825,1.22625,0.008575,171,0.009561,0.000397916666666646,0.00040124999999996414,1.22919125,1.22964,1.2296203125,1.229321875,1.2303560559059337,1.2288845690940664,0.039468484300916734,0.03052263338404418,0.04109500264945216,46.192270037396625,,,,-1,-56.309932474023825,-26.803285893577733,-9.346143023891766,-48.24427144739477,11.037153085561073,-0.08037952673398037,,,,,,,,,,,,,False,False,,,,,,,,,False,,,,,False,False,False,False,False,False,False,,,,,4,4.25,False,False,GBPUSD
2023-11-07 19:00:00-05:00,1.229135,1.22924,1.22878,1.229205,16241,7.00000000000145e-05,0.000460000000000127,3.500000000000725e-05,0.00035500000000010523,0.07608695652173389,0.22826086956520164,7,1.23027,1.2302,1.22907,1.22878,0.0014899999999999913,0.7147651006710589,0.761744966442881,1.234825,1.22625,0.008575,171,0.009561,0.00037291666666666723,0.0002987500000000143,1.22915625,1.22954,1.2295965625,1.22930109375,1.230359367510717,1.2288337574892831,0.03184479462140187,0.02899833253233701,0.06640897713147778,46.839314630819224,,,,-1,-41.98721249581587,-17.245213791149098,-4.941409633836946,-53.342246959109076,9.470009941735615,-1.599827756029577,True,True,,,,,,True,,,,,False,False,,,,,,,,,False,,,,,False,False,False,False,False,False,False,,,,,8,4.75,False,False,GBPUSD
2023-11-07 19:15:00-05:00,1.229205,1.229405,1.229135,1.229335,16242,0.00012999999999996348,0.00026999999999999247,7.00000000000145e-05,7.00000000000145e-05,0.2592592592593202,0.7407407407406799,8,1.23027,1.2302,1.22907,1.22878,0.0014899999999999913,0.6275167785234319,0.7147651006710589,1.234825,1.22625,0.008575,171,0.009561,0.0003754166666666651,0.0002862499999999879,1.2292225,1.229431875,1.22959875,1.22925265625,1.2303583345904177,1.2288391654095825,0.021450086867769426,0.015757172817554715,0.03771555558266345,48.07620165286242,,1.23027,,-1,5.946863054001692,-4.111064603971678,-12.992437333605427,-37.81491786666446,10.543384603642481,-2.5907554160130704,,,,,,,,,,,,,False,False,,,,,,,,,False,,,,,False,False,False,False,False,False,False,,,,,7,5.75,False,False,GBPUSD
2023-11-07 19:30:00-05:00,1.229335,1.22934,1.228535,1.228605,16243,0.0007300000000001194,0.0008050000000001667,5.000000000032756e-06,7.00000000000145e-05,0.9130434782608695,0.006211180124263007,9,1.23027,1.2302,1.228605,1.228535,0.001735000000000042,0.9596541786743442,0.5389048991353806,1.234825,1.22625,0.008575,171,0.009561,0.0004133333333333396,0.0004162500000000624,1.22907,1.229248125,1.22954375,1.229219375,1.2304429267067711,1.2286445732932287,0.07634945889481266,0.01657118748314861,0.08204262760068544,42.19568202736598,,1.23027,,-1,-16.039943306022042,-9.984144867518904,-15.237441835675787,-27.097556305465012,11.18446632906387,-3.3716377502249104,,,,,,,,,,,,,False,False,,,,,,,,,False,,,,,False,False,False,False,False,False,False,,,,,9,7.0,False,False,GBPUSD
2023-11-07 19:45:00-05:00,1.228605,1.22891,1.228515,1.228615,16244,1.0000000000065512e-05,0.0003949999999999232,0.0002949999999999342,8.999999999992347e-05,0.7468354430379534,0.7721518987343267,10,1.23027,1.2302,1.228605,1.228515,0.001754999999999951,0.9430199430199477,0.9487179487179909,1.234825,1.22625,0.008575,171,0.009561,0.0004195833333333436,0.00048250000000005233,1.2289400000000001,1.229065625,1.2294559375,1.229166875,1.2304237263376991,1.228488148662301,0.0683991572491818,0.04440480405586664,0.07653283629776414,42.298809930982436,,1.23027,,-1,-43.27918516632342,-25.456394502325843,-15.957219214713302,-23.83986947853991,9.935574685206838,-4.423047651277009,,,,True,,,,,,,,,False,False,,,,,,,,,False,,,,,False,False,False,False,False,False,False,,,,,4,7.0,False,False,GBPUSD
2023-11-07 20:00:00-05:00,1.228615,1.229015,1.22829,1.228905,16245,0.00028999999999990145,0.0007249999999998646,0.0001100000000000545,0.0003249999999999087,0.15172413793113798,0.5517241379310768,11,1.23027,1.2302,1.228605,1.22829,0.0019799999999998708,0.689393939394015,0.8358585858586213,1.234825,1.22625,0.008575,171,0.009561,0.00045833333333333837,0.0005487499999999867,1.2288649999999999,1.229010625,1.2294315625,1.22915421875,1.230433384083105,1.2284297409168952,0.0428297528761517,0.033882528536443524,0.09285287077538898,45.31666001956079,,1.23027,,-1,-34.34609740009182,-20.50370239569465,-12.253623073576408,-21.9295907046089,8.87018187138966,-5.2299294315331455,,,,,,,,,,,,,False,False,,,,,,,,,False,,,,,False,False,False,False,False,False,False,,,,,6,6.5,False,False,GBPUSD
2023-11-07 20:15:00-05:00,1.228905,1.228945,1.228205,1.22842,16246,0.00048499999999984666,0.0007399999999999629,4.0000000000040004e-05,0.00021500000000007624,0.7094594594593419,0.054054054054110824,12,1.23027,1.2302,1.22842,1.228205,0.0020649999999999835,0.8958837772396717,0.661016949152577,1.234825,1.22625,0.008575,171,0.009561,0.0004912499999999986,0.0006662499999999794,1.22863625,1.228929375,1.229364375,1.22917234375,1.2304781067619157,1.2282506432380844,0.07681815247005162,0.03411315705322196,0.09430686487885852,41.44939811623908,,1.23027,,-1,-45.35586983062631,-16.97262597226032,1.044338645494848,-34.7552739257659,6.630418525895637,-4.876193807486584,,,,,,,,,,,,,False,False,,,,,,,,,False,,,,,False,False,False,False,False,False,False,,,,,6,6.25,False,False,GBPUSD
2023-11-07 20:30:00-05:00,1.22842,1.22844,1.227815,1.22814,16247,0.000280000000000058,0.0006249999999998757,1.999999999990898e-05,0.0003249999999999087,0.4800000000000426,0.03199999999986074,13,1.23027,1.2302,1.22814,1.227815,0.002454999999999874,0.867617107943004,0.7535641547861517,1.234825,1.22625,0.008575,171,0.009561,0.0004949999999999862,0.0006212499999999066,1.22852,1.228795,1.2292646875,1.229215625,1.2305060902788654,1.2280232847211345,0.09149270384454475,0.06708787036559012,0.11793127344674108,39.3798987266237,,1.23027,,-1,-48.99091309841479,-29.084999735242434,11.567942345953346,-42.99301637386409,2.062724219678914,-3.9073913938514537,,,,,,,,,,,,,False,False,,,,,,,,,False,,,,,False,False,False,False,False,False,False,,True,,,7,5.75,False,False,GBPUSD
2023-11-07 20:45:00-05:00,1.22814,1.22865,1.228015,1.22851,16248,0.00036999999999998145,0.0006349999999999412,0.000140000000000029,0.00012499999999993072,0.22047244094494797,0.8031496062993034,14,1.23027,1.2302,1.22814,1.227815,0.002454999999999874,0.7169042769857736,0.867617107943004,1.234825,1.22625,0.008575,171,0.009561,0.0005216666666666425,0.0006812499999999111,1.22849375,1.228716875,1.2291784375,1.2292790625,1.230425818349771,1.2279310566502293,0.054380835166588135,0.04299111372917242,0.09465163596314963,43.36555754889755,,1.23027,,-2,-25.407718108972844,-31.790289785823276,19.581956143248483,-38.52514960952644,-3.242111861482023,-2.506479302302676,,,,,,,,,,,,,False,False,,,,,,,,,False,,,,,False,False,False,False,False,False,False,,,,,6,6.25,False,False,GBPUSD
